公告,#genre#
更新日期,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
2025-04-03,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
📡  央视频道,#genre#
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225642/2/index.m3u8$LR•IPV6『线路1』
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225501/2/index.m3u8$LR•IPV6『线路2』
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225642/index.m3u8$LR•IPV6『线路3』
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225618/2/index.m3u8$LR•IPV6『线路4』
CCTV1,http://huashetou.fun:35455/gaoma/cctv1.m3u8$LR•IPV4『线路5』
CCTV1,http://115.159.35.169:35455/gaoma/cctv1.m3u8$LR•IPV4『线路6』
CCTV1,http://112.81.218.254:35455/gaoma/cctv1.m3u8$LR•IPV4『线路7』
CCTV1,http://36.105.100.208:35455/gaoma/cctv1.m3u8$LR•IPV4『线路8』
CCTV1,http://xsbc.3sbio.com:35455/gaoma/cctv1.m3u8$LR•IPV4『线路9』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225619/2/index.m3u8$LR•IPV6『线路1』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225500/2/index.m3u8$LR•IPV6『线路2』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225643/2/index.m3u8$LR•IPV6『线路3』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225643/index.m3u8$LR•IPV6『线路4』
CCTV2,http://www.douzhicloud.site:35455/gaoma/cctv2.m3u8$LR•IPV4『线路5』
CCTV2,http://home.kuaidi521.com:35455/gaoma/cctv2.m3u8$LR•IPV4『线路6』
CCTV2,http://huashetou.fun:35455/gaoma/cctv2.m3u8$LR•IPV4『线路7』
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路8』
CCTV2,http://227w9f5104.zicp.fun:35455/gaoma/cctv2.m3u8$LR•IPV4『线路9』
CCTV3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$LR•IPV6『线路1』
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225634/2/index.m3u8$LR•IPV6『线路2』
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225634/index.m3u8$LR•IPV6『线路3』
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225647/2/index.m3u8$LR•IPV6『线路4』
CCTV3,http://huashetou.fun:35455/gaoma/cctv3.m3u8$LR•IPV4『线路5』
CCTV3,http://xsbc.3sbio.com:35455/gaoma/cctv3.m3u8$LR•IPV4『线路6』
CCTV3,http://3501776.xyz:35455/gaoma/cctv3.m3u8$LR•IPV4『线路7』
CCTV3,http://yc.myds.me:35455/gaoma/cctv3.m3u8$LR•IPV4『线路8』
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$LR•IPV4『线路9』
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225621/index.m3u8$LR•IPV6『线路1』
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225621/2/index.m3u8$LR•IPV6『线路2』
CCTV4,http://115.159.35.169:35455/gaoma/cctv4k.m3u8$LR•IPV4『线路3』
CCTV4,http://36.105.100.208:35455/gaoma/cctv4.m3u8$LR•IPV4『线路4』
CCTV4,http://227w9f5104.zicp.fun:35455/gaoma/cctv4.m3u8$LR•IPV4『线路5』
CCTV4,http://www.douzhicloud.site:35455/gaoma/cctv4.m3u8$LR•IPV4『线路6』
CCTV4,http://115.159.35.169:35455/gaoma/cctv4.m3u8$LR•IPV4『线路7』
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225633/2/index.m3u8$LR•IPV6『线路1』
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225633/index.m3u8$LR•IPV6『线路2』
CCTV5,http://36.105.100.208:35455/gaoma/cctv5.m3u8$LR•IPV4『线路3』
CCTV5,http://112.81.218.254:35455/gaoma/cctv5.m3u8$LR•IPV4『线路4』
CCTV5,http://39.77.34.83:35455/gaoma/cctv5.m3u8$LR•IPV4『线路5』
CCTV5,http://huashetou.fun:35455/gaoma/cctv5.m3u8$LR•IPV4『线路6』
